Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
LUCIANO HANG (apoio),,143579669924988,none,,,,81000,N/A,2021-01-17 18:52:57 BRT,2021-01-17,18:52:57,Photo,807,263,147,286,1,39,56,3,12,0,,-,0,0,0,N/A,https://www.facebook.com/groups/143579669924988/permalink/742533916696224,Estranho!!,https://www.facebook.com/carteiroreaca/photos/a.1046517228879826/1515157995349078/?type=3,,,Gil Diniz,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!",,,,807,16.47
Bárbara - Te Atualizei 🇧🇷,,671689840082797,none,,,,39456,N/A,2021-01-17 19:45:04 BRT,2021-01-17,19:45:04,Photo,562,137,62,280,0,29,45,2,7,0,,-,0,0,0,N/A,https://www.facebook.com/groups/671689840082797/permalink/820391178545995,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano. Ninguém acredita em João Doria!",https://www.facebook.com/photo.php?fbid=2151313558334343&set=gm.820391178545995&type=3,,,Photos from Adriana Scapim's post,,,,,562,5.92
Aliança pelo Brasil 38,,565098544264960,none,,,,208042,N/A,2021-01-17 19:08:37 BRT,2021-01-17,19:08:37,Photo,373,70,155,89,0,7,28,0,24,0,,-,0,0,0,N/A,https://www.facebook.com/groups/565098544264960/permalink/987678135340330,,https://www.facebook.com/photo.php?fbid=2087879801343415&set=p.2087879801343415&type=3,,,Rodrigo,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!

A legenda é com vocês...",,,,373,5.92
VERDADE E JUSTIÇA,,4995256483819650,none,,,,N/A,N/A,2021-01-17 19:22:04 BRT,2021-01-17,19:22:04,Photo,294,66,90,106,0,10,17,1,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/4995256483819650/permalink/5275346139144015,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano. Ninguém acredita em João Doria!",https://www.facebook.com/photo.php?fbid=2911530995799040&set=gm.5275346139144015&type=3,,,,,,,,294,6.26
FORÇABRASIL,,561813371057548,none,,,,281529,N/A,2021-01-17 19:09:25 BRT,2021-01-17,19:09:25,Photo,248,36,103,68,0,6,27,0,8,0,,-,0,0,0,N/A,https://www.facebook.com/groups/561813371057548/permalink/1066660743906139,,https://www.facebook.com/photo.php?fbid=2087879801343415&set=p.2087879801343415&type=3,,,Rodrigo,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!

A legenda é com vocês...",,,,248,3.02
Grupo do SOLDADO DE AÇO Apoio ao Presidente Jair  Bolsonaro,,355074335229986,none,,,,228559,N/A,2021-01-17 19:07:40 BRT,2021-01-17,19:07:40,Photo,201,38,51,81,0,11,14,1,5,0,,-,0,0,0,N/A,https://www.facebook.com/groups/355074335229986/permalink/1397225861014823,😡😤 O MARKETING ILUSIONISTA 🤨,https://www.facebook.com/carteiroreaca/photos/a.1046517228879826/1515157995349078/?type=3,,,Gil Diniz,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!",,,,201,1.33
Rodrigo Constantino,,814358782629829,none,,,,N/A,N/A,2021-01-17 19:19:02 BRT,2021-01-17,19:19:02,Photo,176,42,28,72,0,11,19,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/814358782629829/permalink/839499183449122,,https://www.facebook.com/carteiroreaca/photos/a.1046517228879826/1515157995349078/?type=3,,,Gil Diniz,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!",,,,176,2.79
Bolsonaro 2022,,347555432645817,none,,,,170926,N/A,2021-01-17 19:23:02 BRT,2021-01-17,19:23:02,Photo,138,28,32,55,0,3,13,0,6,1,,-,0,0,0,N/A,https://www.facebook.com/groups/347555432645817/permalink/960877587980262,ISSO É GOLPE,https://www.facebook.com/carteiroreaca/photos/a.1046517228879826/1515157995349078/?type=3,,,Gil Diniz,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!",,,,138,2.42
Grupo do Movimento Brasil à Direita,,577614125933249,none,,,,216577,N/A,2021-01-17 21:17:58 BRT,2021-01-17,21:17:58,Photo,135,42,21,46,0,12,10,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/577614125933249/permalink/1620633128298005,,https://www.facebook.com/carteiroreaca/photos/a.1046517228879826/1515157995349078/?type=3,,,Gil Diniz,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!",,,,135,1.57
Regina Duarte pela Cultura[apoio],,2399294940380524,none,,,,62874,N/A,2021-01-17 21:40:22 BRT,2021-01-17,21:40:22,Photo,132,47,20,52,0,2,8,1,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2399294940380524/permalink/2711209359189079,,https://www.facebook.com/carteiroreaca/photos/a.1046517228879826/1515157995349078/?type=3,,,Gil Diniz,"Por quê Mônica Calazans tomou a “primeira vacina” se teoricamente ela já estava imunizada por ter participado dos estudos da vacina experimental no Butantan? Aliás, a própria enfermeira postou em suas redes sociais que estava na Praia no final do ano.

Ninguém acredita em João Doria!",,,,132,2.28
